"filename", "language", "Python", "CSS", "XML", "HTML", "JavaScript", "pip requirements", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\support.user2\django_project_form\rts_forms\Templates\forms\rtsforms.html", "HTML", 0, 0, 0, 67, 0, 0, 0, 0, 2, 7, 76
"c:\Users\support.user2\django_project_form\rts_forms\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\support.user2\django_project_form\rts_forms\admin.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\support.user2\django_project_form\rts_forms\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\support.user2\django_project_form\rts_forms\forms.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 5, 32, 92
"c:\Users\support.user2\django_project_form\rts_forms\migrations\0001_initial.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 1, 7, 85
"c:\Users\support.user2\django_project_form\rts_forms\migrations\0002_supplier_supplier_code.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\support.user2\django_project_form\rts_forms\migrations\0003_auto_20220511_1210.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\support.user2\django_project_form\rts_forms\migrations\0004_auto_20220831_1340.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\support.user2\django_project_form\rts_forms\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\support.user2\django_project_form\rts_forms\models.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 17, 79
"c:\Users\support.user2\django_project_form\rts_forms\static\rts_forms\bootstrap.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\support.user2\django_project_form\rts_forms\static\rts_forms\main.css", "CSS", 0, 9465, 0, 0, 0, 0, 0, 0, 47, 1757, 11269
"c:\Users\support.user2\django_project_form\rts_forms\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\support.user2\django_project_form\rts_forms\urls.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\support.user2\django_project_form\rts_forms\views.py", "Python", 231, 0, 0, 0, 0, 0, 0, 0, 21, 53, 305
"c:\Users\support.user2\django_project_form\static\admin\css\autocomplete.css", "CSS", 0, 227, 0, 0, 0, 0, 0, 0, 0, 49, 276
"c:\Users\support.user2\django_project_form\static\admin\css\base.css", "CSS", 0, 827, 0, 0, 0, 0, 0, 0, 23, 203, 1053
"c:\Users\support.user2\django_project_form\static\admin\css\changelists.css", "CSS", 0, 282, 0, 0, 0, 0, 0, 0, 7, 63, 352
"c:\Users\support.user2\django_project_form\static\admin\css\dashboard.css", "CSS", 0, 18, 0, 0, 0, 0, 0, 0, 2, 7, 27
"c:\Users\support.user2\django_project_form\static\admin\css\fonts.css", "CSS", 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\support.user2\django_project_form\static\admin\css\forms.css", "CSS", 0, 410, 0, 0, 0, 0, 0, 0, 11, 103, 524
"c:\Users\support.user2\django_project_form\static\admin\css\login.css", "CSS", 0, 48, 0, 0, 0, 0, 0, 0, 1, 12, 61
"c:\Users\support.user2\django_project_form\static\admin\css\nav_sidebar.css", "CSS", 0, 101, 0, 0, 0, 0, 0, 0, 0, 20, 121
"c:\Users\support.user2\django_project_form\static\admin\css\responsive.css", "CSS", 0, 754, 0, 0, 0, 0, 0, 0, 28, 222, 1004
"c:\Users\support.user2\django_project_form\static\admin\css\responsive_rtl.css", "CSS", 0, 63, 0, 0, 0, 0, 0, 0, 2, 16, 81
